# t(1)   sumvx(2)   sumvy(3)   sumvz(4)    kenergy(5)   penergy(6)   energy(7)   red_temp(8)
0.06105 nan nan nan nan 1.45106e+13 nan nan
0.0611 nan nan nan nan 9.31145e+17 nan nan
0.06115 nan nan nan nan 3.07198e+14 nan nan
0.0612 nan nan nan nan 1.10974e+16 nan nan
0.06125 nan nan nan nan 4.54423e+14 nan nan
0.0613 nan nan nan nan 2.16193e+13 nan nan
0.06135 nan nan nan nan 7.00599e+13 nan nan
0.0614 nan nan nan nan 2.0823e+14 nan nan
0.06145 nan nan nan nan 5.66515e+12 nan nan
0.0615 nan nan nan nan 1.75591e+14 nan nan
0.06155 nan nan nan nan 1.34163e+14 nan nan
0.0616 nan nan nan nan 2.1967e+14 nan nan
0.06165 nan nan nan nan 5.91157e+14 nan nan
0.0617 nan nan nan nan 2.87684e+11 nan nan
0.06175 nan nan nan nan 2.08902e+19 nan nan
0.0618 nan nan nan nan 1.48514e+13 nan nan
0.06185 nan nan nan nan 2.82291e+14 nan nan
0.0619 nan nan nan nan 1.49821e+13 nan nan
0.06195 nan nan nan nan 3.29236e+12 nan nan
0.062 nan nan nan nan 1.09498e+13 nan nan
0.06205 nan nan nan nan 2.2703e+15 nan nan
0.0621 nan nan nan nan 2.46889e+12 nan nan
0.06215 nan nan nan nan 1.74263e+12 nan nan
0.0622 nan nan nan nan 1.71915e+11 nan nan
0.06225 nan nan nan nan 9.23031e+13 nan nan
0.0623 nan nan nan nan 3.33712e+11 nan nan
0.06235 nan nan nan nan 1.97709e+17 nan nan
0.0624 nan nan nan nan 6.41596e+12 nan nan
0.06245 nan nan nan nan 1.24e+11 nan nan
0.0625 nan nan nan nan 2.1341e+13 nan nan
0.06255 nan nan nan nan 1.45481e+17 nan nan
0.0626 nan nan nan nan 5.69343e+14 nan nan
0.06265 nan nan nan nan 2.48181e+14 nan nan
0.0627 nan nan nan nan 9.89794e+13 nan nan
0.06275 nan nan nan nan 2.26398e+16 nan nan
0.0628 nan nan nan nan 6.03418e+13 nan nan
0.06285 nan nan nan nan 5.60831e+15 nan nan
0.0629 nan nan nan nan 9.05716e+13 nan nan
0.06295 nan nan nan nan 1.05402e+20 nan nan
0.063 nan nan nan nan 7.36212e+22 nan nan
0.06305 nan nan nan nan 7.18465e+14 nan nan
0.0631 nan nan nan nan 7.86538e+15 nan nan
0.06315 nan nan nan nan 9.9747e+10 nan nan
0.0632 nan nan nan nan 9.735e+10 nan nan
0.06325 nan nan nan nan 7.69712e+12 nan nan
0.0633 nan nan nan nan 5.54723e+14 nan nan
0.06335 nan nan nan nan 5.75636e+15 nan nan
0.0634 nan nan nan nan 4.70467e+14 nan nan
0.06345 nan nan nan nan 8.55731e+12 nan nan
0.0635 nan nan nan nan 6.68333e+11 nan nan
0.06355 nan nan nan nan 7.68213e+10 nan nan
0.0636 nan nan nan nan 2.37791e+12 nan nan
0.06365 nan nan nan nan 1.9914e+14 nan nan
0.0637 nan nan nan nan 3.25999e+12 nan nan
0.06375 nan nan nan nan 1.31233e+11 nan nan
0.0638 nan nan nan nan 3.39832e+14 nan nan
0.06385 nan nan nan nan 1.91472e+13 nan nan
0.0639 nan nan nan nan 3.78399e+16 nan nan
