#    t(1)      varx(2)      vary(3)      varz(3)
2.6295 0.106225 0.119004 0.111529
2.63 0.106647 0.11934 0.111912
2.6305 0.10709 0.119679 0.112292
2.631 0.107552 0.120021 0.112673
2.6315 0.108034 0.120367 0.113054
2.632 0.108535 0.120715 0.113436
2.6325 0.109053 0.121065 0.113821
2.633 0.109587 0.121418 0.114209
2.6335 0.110136 0.121772 0.1146
2.634 0.110699 0.122128 0.114995
2.6345 0.111274 0.122485 0.115395
2.635 0.111858 0.122843 0.115801
2.6355 0.112451 0.123202 0.116213
2.636 0.113048 0.123563 0.116632
2.6365 0.113649 0.123924 0.117059
2.637 0.114249 0.124286 0.117495
2.6375 0.114848 0.124648 0.11794
2.638 0.115442 0.12501 0.118394
2.6385 0.116028 0.125372 0.118856
2.639 0.116606 0.125734 0.119327
2.6395 0.117171 0.126096 0.119806
2.64 0.117724 0.126458 0.12029
2.6405 0.118263 0.126819 0.120781
2.641 0.118787 0.12718 0.121276
2.6415 0.119295 0.12754 0.121774
2.642 0.119788 0.127899 0.122275
2.6425 0.120265 0.128255 0.122778
2.643 0.120728 0.128608 0.123281
2.6435 0.121175 0.128957 0.123783
2.644 0.121609 0.129301 0.124282
2.6445 0.122027 0.129638 0.124775
2.645 0.12243 0.129969 0.12526
2.6455 0.122817 0.130292 0.125734
2.646 0.123188 0.130608 0.126195
2.6465 0.123542 0.130917 0.126642
2.647 0.123879 0.131218 0.127074
2.6475 0.124198 0.131513 0.127492
2.648 0.124498 0.131803 0.127895
2.6485 0.124781 0.132091 0.128285
2.649 0.125045 0.132376 0.128663
2.6495 0.125289 0.132662 0.129029
2.65 0.125514 0.13295 0.129385
2.6505 0.125717 0.133241 0.129733
2.651 0.1259 0.133537 0.130073
2.6515 0.126061 0.133838 0.130406
2.652 0.126202 0.134145 0.130733
2.6525 0.126323 0.134457 0.131057
2.653 0.126425 0.134775 0.131376
2.6535 0.126509 0.135097 0.131693
2.654 0.126578 0.135423 0.132007
2.6545 0.126634 0.135753 0.13232
2.655 0.12668 0.136084 0.132631
2.6555 0.126718 0.136417 0.13294
2.656 0.126749 0.13675 0.133248
2.6565 0.126777 0.137083 0.133556
2.657 0.126801 0.137416 0.133861
2.6575 0.126825 0.137747 0.134165
2.658 0.126848 0.138077 0.134467
2.6585 0.126871 0.138407 0.134766
2.659 0.126896 0.138736 0.135062
2.6595 0.126924 0.139067 0.135354
2.66 0.126953 0.139399 0.135644
2.6605 0.126987 0.139734 0.13593
2.661 0.127023 0.140072 0.136213
2.6615 0.127065 0.140414 0.136495
2.662 0.12711 0.140761 0.136775
2.6625 0.127161 0.141113 0.137054
2.663 0.127218 0.141472 0.137335
2.6635 0.127282 0.141837 0.137618
2.664 0.127352 0.142209 0.137903
2.6645 0.127432 0.142589 0.138194
2.665 0.12752 0.142977 0.13849
2.6655 0.127617 0.143373 0.138793
2.666 0.127725 0.143776 0.139105
